"Top Sliders","Топ Sliders"
"Please login to add this product to wishlist.","Пожалуйста, войдите, чтобы добавить этот товар в список желаний."
"Please select a product","Пожалуйста, выберите продукт"
"Cannot specify product.","Невозможно указать продукт."
"%1$s has been added to your wishlist.","% 1 $ s был добавлен в ваш список желаний."
"An error occurred while adding item to wishlist: %s","Произошла ошибка при добавлении элемента к списку желаний:% s"
"Requested wishlist doesn't exist","Запрошенный лист желаний не существует"
"SKU","SKU"
"Wishlist could not be created.","Список желаний не может быть создан."
"An error occurred while deleting the item from wishlist.","При удалении элемента из желаний произошла ошибка."
"Wishlist item has been successfully removed.","Добавить в корзину Товар был успешно удален."
"An error occurred while deleting the item from wishlist: %s","Произошла ошибка при удалении элемента из списка желаний:% s"
"Item has been successfully added to the cart.","Пункт был успешно добавлен в корзину."
"Incl. Tax","Включительно налог"
"Unable to post the review.","Невозможно опубликовать обзор."
"Recent Products","Последние продукты"
"From","Из"
"To","к"
"Mobile number and country code is Mandatory.","Мобильный телефон и код страны является обязательным."
"Country Code is Mandatory.","Код страны является обязательным."
"This mobile number has already been registered with an other account.","Этот мобильный номер уже зарегистрирован с другой учетной записью."
"Shipping Method is disabled.","Способ доставки отключен."
"Mobile Number is blank","Мобильный телефон является пустым"
"Mobile Number already exist","Мобильный телефон уже существует"
"Empty Mobile number.","Пустой номер мобильного телефона."
"Empty Country Code.","Пустой код страны."
"Empty Password.","Пустой пароль."
"The password has been changed successfully.","Пароль был успешно изменен."
"Password cannot be updated.","Пароль не может быть обновлен."
"An account using this email address does not exists.","Счет использования этого адреса электронной почты не существует."
"The account has been mapped for the fingerprint login in this device.","Счет был сопоставлен для входа по отпечаткам в этом устройстве."
"The account can not be mapped for the fingerprint login in this device.","Счет не может быть отображен для входа по отпечаткам в этом устройстве."
"Customer data is not available.","Данные клиента не доступны."
"Your account isn\'t available at this time.","Ваша учетная запись ISN \ 'т доступны в данный момент."
"This Unique Id is not linked with the Email id.","Этот уникальный идентификатор не связан с идентификатором электронной почты."
"This Mobile number is not linked with any account.","Это Мобильный телефон не связан с какой-либо учетной записью."
"Mobile Number or country code is not available.","Номер мобильного или код страны не доступен."
"Mobile number exists into the database..","Мобильный телефон существует в базе данных .."
"Mobile number does not exists into the database..","Мобильный телефон не существует в базе данных .."
"Not Mentioned","Не упомянуто"
"Marektplace Module is not enabled","Marektplace модуль не включен"
"Seller id is missing","Идентификатор продавца отсутствует"
"Seller not found","Продавец не найден"
"Please login to write review.","Пожалуйста, войдите, чтобы написать отзыв."
"Not able to submit your review. Title or comment is missing.","Не в состоянии представить свой отзыв. Название или комментарий отсутствует."
"Not able to submit your review. Posting review for this seller is not allowed.","Не в состоянии представить свой отзыв. Обзор проводок для этого продавца не допускается."
"Thanks! for rating the Seller.","Благодаря! для рейтинга Продавца."
"All","Все"
"Name","имя"
"A-Z","A-Z"
"Z-A","Z-А"
"Price","Цена"
"Low to High","Снизу вверх"
"High to Low","От высокого к низкому"
"Ascending","Восходящий"
"Descending","По убыванию"
"All Products","Все продукты"
"Customer already registered.","Клиент уже зарегистрирован."
"An error occurred .","Произошла ошибка ."
"Success.","Успех."
"Last order was not completed.","Последний заказ не был завершен."
"Can't apply voucher code on this cart.","Невозможно применить код ваучера на этой тележке."
"An error occurred while adding item to wishlist: %1","Произошла ошибка при добавлении элемента к списку желаний:% 1"
"Your review has been accepted for moderation.","Ваш отзыв был принят на модерацию."
"Review by %1","Обзор% 1"
"(Posted on %1)","(Опубликовано% 1)"
"--Select Category--","--Выберите категорию--"
"Order Successfully Created","Заказ успешно создан"
"Hi Thanks for your interest. Keep shopping with us to become our premium customer.","Привет, Спасибо за ваш интерес. Продолжайте ходить по магазинам с нами, чтобы стать нашим клиентом премии."
"Order status update","Обновление статуса заказа"
"Hi Your order status has been changed to {{STATUS}}.","Привет Ваш статус заказа был изменен на {{STATUS}}."
"Hurry!","Торопиться!"
"Hi","Заполните ваш заказ, чтобы получить дополнительные преимущества на вашем следующем заказе."
"Best Seller Products","Бестселлеры"
"Featured Products","Рекомендуемые товары"
"New Products","новые продукты"
"From a category","Из категории"
"Custom Products","Пользовательские продукты"
"Mobile App Builder","Мобильный App Builder"
"Settings saved successfully.","Настройки успешно сохранены."
"Firebase Server key is not available","Firebase ключ сервера не доступен"
"Notificaton Send successfully","Notificaton Отправить успешно"
"Data saved successfully.","Данные успешно сохранены."
"Component deleted successfully.","Компонент успешно удален."
"Banner data deleted successfully.","Данные банер успешно удалены."
"Layout deleted successfully.","Компоновка успешно удалена."
"Data has been saved successfully.","Данные были успешно сохранены."
"Settings saved successfully","Настройки успешно сохранены"
"Edit Layout","Изменить макет"
"Knowband Mobile App Builder is not enabled on this store.","Knowband Mobile App Builder не включен в этом магазине."
"Requested API not available","Запрашиваемые API не доступен"
"Requested Api method not available","Запрошенный метод Api не доступен"
"Save Settings","Сохранить настройки"
"Edit","редактировать"
"Edit Name","Редактировать название"
"Delete","удалять"
"View Details","Посмотреть детали"
"Layout ID","Макет ID"
"Layout Name","Компоновка Имя"
"Action","действие"
"Home Page Layout Settings","Главная страница Настройка макета"
"Title","заглавие"
"URL","URL"
"Upload","Загрузить"
"Image Type","Тип изображения"
"Home","Главная"
"Category","категория"
"Product","Продукт"
"Redirect Activity","Перенаправление активность"
"Disable","Отключить"
"Enable","включить"
"Status","Положение дел"
"Banners Settings","Настройки Баннеры"
"ID","Я БЫ"
"Device Type","Тип устройства"
"Both Android/iOS","Как Android / IOS"
"Android","Android"
"iOS","IOS"
"Sent Date","Отправлено Дата"
"Push Notification History","Push уведомление История"
"Return Statuses","Возврат Статусы"
"Coupon Code","код купона"
"Customer Email","Клиент электронной почты"
"Device","устройство"
"Coupon Used","Купон Б"
"Yes","да"
"Coupon Generated On","Купон генерируется на"
"Menu Settings","Настройки меню"
"Push Notification Settings","Настройки Push Notification"
"Slider Settings","Настройки Slider"
"Google Login Settings","Вход Настройки Google"
"Facebook Login Settings","Вход Настройки Facebook"
"General Settings","общие настройки"
"New Arrival","Новое поступление"
"Best Seller","Бестселлер"
"Statistics","Статистика"
"Category Icon Settings","Категория Icon Settings"
"Code","Код"
"Payment Method Settings","КОМПЕНСАЦИЯ Метод настройки"
"Image","Образ"
"Upto Time","Upto Время"
"Background Color","Фоновый цвет"
"Text Color","Цвет текста"
"Redirect","Перенаправление"
"Category ID","Категория ID"
"Product ID","идантификационный номер продукта"
"Product Name","наименование товара"
"Sort Order","Порядок сортировки"
"Layout Settings","Параметры макета"
"Back","назад"
"Session has expired. Please try again after Re-login.","Сессия истекла. Пожалуйста, попробуйте еще раз после повторного входа в систему."
"Sorry","никаких кавычек не доступны для этого заказа на данный момент."
"Place Order","Разместить заказ"
"Heading of this Component","Заголовок этого компонента"
"Field cannot be empty.","Поле не может быть пустым."
"Select Product Type","Выберите тип продукта"
"Select Category","выберите категорию"
"Select Products from Category","Выбрать товары из категории"
"Select Products","Выберите продукты"
"Number of products","Количество продуктов"
"Image Content Mode","Режим изображения Содержание"
"Scale aspect fill","Шкала заполнения аспект"
"Scale aspect Fit","Масштаб аспект, пригодный"
"Please select category.","Пожалуйста, выберите категорию."
"Please select product.","Пожалуйста, выберите продукт."
"Please select image type","Пожалуйста, выберите тип изображения"
"Please provide image url","Укажите URL изображения"
"Please select category","Пожалуйста, выберите категорию"
"Please select product","Пожалуйста, выберите продукт"
"Only Positive integer is allowed.","Только положительное целое допускается."
"Please select an option from dropdown.","Пожалуйста, выберите вариант из выпадающего списка."
"You can enter only numbers.","Можно ввести только цифры."
"Number should be greater than 0.","Количество должно быть больше 0."
"Field cannot be greater than {#} characters.","Поле не может быть больше, чем {#} символов."
"Field cannot be less than {#} character(s).","Поле не может быть меньше, чем {#} символ (ы)."
"Please enter Email.","Пожалуйста, введите e-mail."
"Please enter a valid Email.","Введите, пожалуйста, действительный адрес электронной почты."
"Invalid date format.","Неверный формат даты."
"Number is not in the valid range. It should be between {1} and {100}","Номер не в допустимом диапазоне. Оно должно быть между {1} ​​и {100}"
"Field should be numeric.","Поле должно быть числовым."
"Field can have only upto two decimal values.","Поле может иметь только ДО двух десятичных значений."
"Email cannot be greater than {#} characters.","Email не может быть больше, чем {#} символов."
"Zip should not have special characters.","Zip не должен иметь специальные символы."
"Percentage should be in number.","Процент должен быть числом."
"Percentage should be between 0 and 100.","Процент должен быть в пределах от 0 до 100."
"Size cannot be greater than {#} characters.","Размер не может быть больше, чем {#} символов."
"Color could not be greater than {#} characters.","Цвет не может быть больше, чем {#} символов."
"Color is not valid.","Цвет не является действительным."
"Special characters are not allowed.","Спецсимволы не допустимы."
"Script tags are not allowed.","теги сценария не допускаются."
"Style tags are not allowed.","Стиль-теги не допускаются."
"Iframe tags are not allowed.","Iframe-теги не допускаются."
"Uploaded file is not an image.","Загруженный файл не является изображением."
"Uploaded file size must be less than #.","Загруженный размер файла должен быть меньше #."
"Field should not contain HTML tags.","Поле не должно содержать HTML-тегов."
"You can enter only positive numbers.","Вы можете ввести только положительные числа."
"Select Image Type","Выберите тип изображения"
"Select an option","Выберите опцию"
"Image Url","URL изображения"
"Enter URL","Введите URL"
"Image Upload","изображение Загрузить"
"Select Redirect Activity","Выберите Перенаправление активность"
"CMS","CMS"
"Login","Авторизоваться"
"Search","Поиск"
"Select Product","Выбор продукта"
"Banner Width","Ширина баннера"
"Banner Height","Высота баннера"
"Margin Top","маржа Вверх"
"Margin Bottom","Margin Bottom"
"Margin Left","Поле слева"
"Margin Right","маржа Право"
"Countdown Time Validity","Обратный отсчет времени действия"
"Enable Time Background Color","Enable Time Цвет фона"
"Time Background Color","Время Цвет фона"
"Timer Text Color","Таймер Цвет текста"
"Select Date","Выбор даты"
"Save","Сохранить"
"This field cannot be empty","Это поле не может быть пустым"
"Select 1st Category","Выберите 1-й категории"
"Upload Image","Загрузить изображение"
"Remove image","Удалить изображение"
"Select 2nd Category","Выберите 2-й категории"
"Select 3rd Category","Выберите 3-й категории"
"Select 4th Category","Выберите 4-ой категории"
"Select 5th Category","Выберите 5-ой категории"
"Select 6th Category","Выбор категории 6"
"Select 7th Category","Выберите категорию 7th"
"Select 8th Category","Выберите категорию 8th"
"Are your sure?","Ты уверен?"
"Are you sure?","Вы уверены?"
"Edit Component","Редактировать компонент"
"Close","Закрыть"
"Need to add value in atleast 4 categories","Нужно добавить значение в по крайней мере 4 категории"
"Component added successfully","Компонент успешно добавлен"
"You can add only 20 components in a layout","Вы можете добавить только 20 компонентов в макете"
"Top Categories","Лучшие категории"
"Banner-Square","Баннер-квадрат"
"Banner-Custom","Баннер-заказ"
"Banner-Horizontal Sliding","Баннер-Горизонтальные раздвижные"
"Banner-Grid","Баннер-Grid"
"Banner-With Countdown timer","Таймер Banner-С Countdown"
"Products-Square","Продукты-Square"
"Products-Horizontal Sliding","Продукты-Горизонтальные раздвижные"
"Products-Grid","Продукты-Grid"
"Edit Heading","Редактировать Heading"
"Category1","Категория1"
"Category2","Категория2"
"Category3","Category3"
"Category4","category4"
"Horizontal Banner","Горизонтальный баннер"
"Banner-Grid 1","Баннер-Grid 1"
"Banner-Grid 2","Баннер-Grid 2"
"Banner-Grid 3","Баннер-Grid 3"
"Banner-Grid 4","Баннер-Grid 4"
"Countdown Banner","Обратный отсчет Баннер"
"Hours","Час"
"Minutes","минут"
"Seconds","второй"
"Horizontal Products","Горизонтальные продукты"
"Product Grid","Сетка продукта"
"Payment Mode","Режим оплаты"
"Sandbox","Sandbo"
"Live","Liv"
"Client Id","ID клиента"
"Please select atleast one country","Пожалуйста, выберите по крайней мере в одной стране"
"Please enter a valid color code","Пожалуйста, введите код цвета"
"Date & Time should be greater than current date time.","Дата и время должна быть больше, чем текущее время даты."
"Field cannot be empty","Поле не может быть пустым"
"Total Coupons Generated","Всего купоны Сформированы"
"Total Coupons Unused","Всего купоны Неиспользованный"
"Total Coupons Used","Всего купоны Подержанные"
"`Active Date` cannot be greater than `Expire Date`","`Активный date` не может быть больше, чем` Expire date`"
"`From` Date cannot be greater than `To` Date","`От` Дата не может быть больше, чем` в` Дата"
"The sum of Gravity is not in the valid range. It should be betwen 1 and 100. The total is:","Сумма тяжести не находится в допустимом диапазоне. Это должно быть betwen 1 и 100. Всего:"
"No list exists for this API key.","Список не существует для этого ключа API."
"No. of times","Кол-во раз"
"Date","Свидание"
"Please upload an image file.","Пожалуйста, загрузите файл изображения."
"To percentage should be greater than From percentage.","Для того, чтобы процент должна быть больше, чем от процента."
"Value must be greater than 0","Значение должно быть больше 0"
"Allowed extension is","Допускается расширение"
"Please provide correct format. Maximum allowed file size is","Пожалуйста, укажите правильный формат. Максимально допустимый размер файла"
"Validated successfully","Утвержденные успешно"
"Invalid Api Key","Invalid Api Key"
"Message","Сообщение"
"Select Brodcast Device Type","Выберите Brodcast Тип устройства"
"Remove Image","Удалить изображение"
"Only .png or .jpg file format accepted. File size should not be more than 2 MB.","Только .png или .jpg формат файла принят. Размер файла не должен быть больше 2 Мб."
"--Select Product--","--Выберите продукт--"
"Enable/Disable","Включить выключить"
"Facebook App Id","Facebook App Id"
"Validate App Id","Подтвердить Идентификатор приложения"
"Enable the Extension","Включить расширение"
"This setting will enable/disable entire mobile app functionality.","Этот параметр включает / отключает всю функциональность мобильных приложений."
"Redirect on Cart Page when Add To Cart","Перенаправление на странице корзины, когда Добавить в корзину"
"This setting will redirect to cart page or keep on the product page when add to cart is clicked.","Эта установка будет перенаправлять на страницу корзины или оставить на странице продукта, когда добавить в корзину щелкают."
"Display Short Description","Дисплей Краткое описание"
"Enable Request Log Reporting","Включить запрос журнала отчетов"
"This setting will enable/disable error log reporting for every request to Web Services of the module.","Этот параметр включает / отключает отчеты журнала ошибок для каждого запроса к веб-службам модуля."
"Show App Preview","Показать App Preview"
"This setting will show/hide the app preview.","Эта установка будет показать / скрыть приложение предварительного просмотра."
"Enable Tab Bar","Включить панель вкладок"
"This setting will enable/disable the tab bar in the app.","Этот параметр включает / выключает панель вкладок в приложении."
"Show Spin and Win","Показать спина и Win"
"Show spin and win popup on the mobile App.","Показать спин и выиграть всплывающее окно на мобильном App."
"Enable/Disable Fingerprint Login","Включение / выключение отпечатки Входа"
"This setting will enable/disable Fingerprint login in Mobile App.","Эта установка будет включить / отключить логин отпечатков пальцев в Mobile App."
"Enable/Disable Phone Number Registration","Включение / отключение номера телефона Регистрация"
"This setting will enable/disable customer registration and login via phone number verification.","Эта установка позволит включить / отключить регистрацию клиентов и Войти с помощью номера телефона проверки."
"Mandatory Phone number at registration","Обязательный номер телефона при регистрации"
"This setting will set the Phone number field as optional or required.","Этот параметр устанавливает поле номера телефона в качестве дополнительного или требуется."
"Select layout for home page","Выберите макет для главной страницы"
"Please select","Пожалуйста выберите"
"Disabled Shippping Sethods","Инвалидов Shippping Sethods"
"Select shipping methods from the list for which you want to disable this module.You can leave it to empty if you want to enable this module for all shipping methods.","Выберите методы из списка, для которого вы хотите отключить эту module.You может оставить его, чтобы освободить перевозку груза, если вы хотите, чтобы включить этот модуль для всех способов доставки."
"Select shipping methods","Выбор способов доставки"
"Enable Whatsapp Chat Support","Включение WhatsApp чат поддержки"
"This setting will enable/disable WHATSAPP chat support option in mobile app.","Этот параметр будет включить / отключить опцию поддержки WhatsApp чат в мобильном приложении."
"Chat Number","Чат Номер"
"Enter Chat number with Country code as well.","Введите чат номер с кодом страны, а также."
"Enable Live Chat Support","Включить Live Chat Support"
"This setting will enable/disable live chat support option in mobile app.","Этот параметр будет включить / отключить опцию поддержки чата в мобильном приложении."
"Chat API Key","Чат API Key"
"Enter API Key for Live chat","Введите ключ API для чата"
"Enable Url Encoding Of Image Links","Включить Url кодирование изображения Ссылки"
"This setting will enable/disable Url encoding of all image links.","Этот параметр будет включить / отключить Url кодирование всех ссылок изображения."
"Look And Feel","Смотри и чувствуй"
"Enable Logo","Включить логотип"
"Upload logo","Загрузить логотип"
"Remove logo","Удалить логотип"
"App Button Color","App Button Color"
"Select button color of the app.","Выберите цвет кнопки приложения."
"App Button Text Color","App Кнопка Цвет текста"
"Select button text color of the app.","Выберите цвет кнопки текст приложения."
"App Theme Color","App Theme Color"
"Select theme color of the app.","Выберите цвет темы приложения."
"App Background Color","App Цвет фона"
"Select background color of the app.","Выберите цвет фона приложения."
"Custom CSS","Пользовательские CSS"
"Add custom CSS code that you want to be executed on the app","Добавить пользовательский код CSS, который вы хотите выполнить на приложение"
"Edit Payment Method Settings","Изменение оплаты Параметры метода"
"Something went wrong. Please try again.","Что-то пошло не так. Пожалуйста, попробуйте еще раз."
"Edit Settings","Изменить настройки"
"Upload Google JSON file","Загрузить Google JSON файл"
"Only .json file format accepted. File size should not be more than 1 MB.","Только принял .json формат файла. Размер файла не должен быть более 1 MB."
"Uploaded App Id","Загруженное Идентификатор приложения"
"Uploaded Api Key","Загруженное Api Key"
"Send New Push Notification","Отправить новый Push Notification"
"Send","послать"
"Cancel","отменить"
"View Push Notification","Просмотр Push уведомление"
"Send New Notification","Отправить новое уведомление"
"Contact Us Page","Обратная связь Страница"
"Enable/Disable Contact Us Page","Включение / отключение Контакты Страница"
"Select Contact Us Page","Выберите Контакты Страница"
"Select Product Carousel Type","Выбор продукта Carousel Тип"
"Menu 1","Меню 1"
"Enable/Disable Menu","Включение / выключение меню"
"Menu Title","Меню Название"
"Enter Tiltle for Menu","Введите Tiltle для меню"
"Select Page","Выбрать страницу"
"Menu 2","Меню 2"
"Menu 3","Меню 3"
"Menu 4","Меню 4"
"Category Icon","Категория Иконка"
"Select category to add icon","Выберите категорию, чтобы добавить значок"
"Select category to add/edit icon.","Выберите категорию для добавления / редактирования значка."
"Category icon saved successfully.","Значок Категория успешно сохранен."
"Something went wrong","обновите страницу."
"Invalid File Format","Пожалуйста, выберите только рекомендованные типы .."
"File size must be less than 1MB","Размер файла не должен превышать 1 МБ"
"Invalid File.","Неверный файл."
"Add New Layout","Добавить Layout"
"Firebase Server Setting","Настройка сервера Firebase"
"Server Key","Сервер ключа"
"Enter firebase server key","Введите firebase ключ сервера"
"New Order Settings","Параметры нового заказа"
"Enable/Disable new order push notification","Включение / отключение нового порядка толчок уведомление"
"Title for new order push notification","Название для нового заказа толчок уведомления"
"Message for new order push notification","Сообщение для нового заказа толчок уведомления"
"Order Status Change Settings","Статус заказа Изменить настройки"
"Enable/Disable order status change push notification","Включение / выключение статуса заказа изменения толчок уведомления"
"Title for order status change push notification","Заголовок статус заказа изменения нажимного уведомление"
"Message for order status change push notification","Сообщение для статуса заказа изменения нажимного уведомления"
"Abandoned Cart Settings","Оставленная Корзина Настройка"
"Enable/Disable abandoned cart push notification","Включение / отключение заброшено корзина толчок уведомление"
"Title for abandoned cart push notification","Заголовок заброшенной корзины нажимного уведомления"
"Message for abandoned cart push notification","Сообщение для заброшенной телеги нажимного уведомления"
"Time Interval","Интервал времени"
"Time interval to check Abandoned cart(In Hours)","Временный интервал, чтобы проверить Заброшенную корзинку (в часах)"
"Cron Instructions","Cron Инструкции"
"Add the cron to your store via control panel/putty to send Abandoned cart push notifications according to your settings above. Find below","Инструкция для добавления хрон., добавьте хроны в магазин с помощью контрольной панели / замазок для отправки уведомлений Заброшенных корзины нажимных в соответствии с вашими настройками выше. Найти ниже инструкции, чтобы добавить хрон."
"URL to Add Cron via Control Panel","URL для добавления Cron через панель управления"
"Cron setup via SSH","Настройка Крон с помощью SSH"
"Preview","предварительный просмотр"
"Paypal Mobile","Paypal Mobile"
"COD Mobile","COD Mobile"
"Invalid File Format.","Неверный формат файла."
"File should be less than 2 Mb.","Файл должен быть не менее 2 Мб."
"Please Upload the Image.","Пожалуйста, загрузите изображение."
"Please Upload Image For Category.","Пожалуйста Загрузить изображение для категории."
"app_text_category_products","категория"
"app_text_no_internet","Интернет Проблема"
"app_text_product_image_viewer","Продукт Image Viewer"
"app_text_payment_methods","Способы оплаты"
"app_text_seller_comments","Продавец Комментарий (ы)"
"app_text_home","Главная"
"app_text_category","категории"
"app_text_login","Авторизоваться"
"app_text_logout","Выйти"
"app_text_login_signup","Войти Зарегистрироваться"
"app_text_account","Мой счет"
"app_text_contact","Связаться с нами"
"app_text_about","О нас"
"app_text_add_to_wishlist","Добавить в список желаний"
"app_text_add_to_cart","добавить в корзину"
"app_text_off","от"
"app_text_all","Все"
"app_text_languages","Язык (ы)"
"app_text_sort","Сортировать"
"app_text_filter","Фильтр"
"app_text_sort_order","Выберите сортировку"
"app_text_price_asce","Цена: от низкого до высокого"
"app_text_price_desc","Цена: от высокой к низкой"
"app_text_product","Продукт"
"app_text_select","Выбрать"
"app_text_instock","В наличии"
"app_text_outstock","Нет на складе"
"app_text_product_info","Информация о продукте и уход"
"app_text_customization","Настройка продукта"
"app_text_accessories","аксессуары"
"app_text_view_less","Просмотр Меньше"
"app_text_view_more","Просмотреть больше"
"app_text_provide_details","Просьба представить подробную информацию"
"app_text_discount_price","Цена со скидкой"
"app_text_discount_percentage","Скидка в процентах"
"app_text_rating","Рейтинг *"
"app_text_bag","Сумка для покупок"
"app_text_apply_voucher","Применить Ваучер"
"app_text_entry_voucher_code","Введите код ваучера"
"app_text_apply","Применять"
"app_text_gift","Подарочная упаковка"
"app_text_entry_message","Введите сообщение"
"app_text_available_first","Отправить доступные продукты первой"
"app_text_continue_shopping","Продолжить покупки"
"app_text_continue_checkout","Продолжить Оформить заказ"
"app_text_update_quantity","Обновление Количество"
"app_text_enter_quantity","Введите количество"
"app_text_empty_cart","Ваша перевозка груза корзина пуста!"
"app_text_goto_home","Перейдите на домашнюю страницу"
"app_text_review_your_order","Просмотрите заказ"
"app_text_add_new_shipping_address","Добавить новый адрес"
"app_text_history","Отгрузочные реквизиты"
"app_text_billing_details","Платежные реквизиты"
"app_text_same_as_shipping_details","То же, что Адрес доставки"
"app_text_summary","итог заказа"
"app_text_shipping_methods","Методы доставки"
"app_text_comment","Комментарий к заказу"
"app_text_payment_summary","Оплата Резюме"
"app_text_proceed","Перейти к оплате"
"app_text_make_payment","Совершать платеж"
"app_text_congratulations","Поздравляю"
"app_text_shipping_addresses","Доставка Адрес (ы)"
"app_text_billing_addresses","Billing Address (ы)"
"app_text_addresses","Адрес (ы)"
"app_text_order_detail","Order Detail"
"app_text_update_personal","Обновление Личные данные"
"app_text_update_password","Обновление пароля"
"app_text_current_password","текущий пароль"
"app_text_new_password","Новый пароль"
"app_text_confirm_password","Подтвердите Пароль"
"app_text_cancel","отменить"
"app_text_save","Сохранить"
"app_text_order_ref","Код заказа"
"app_text_status","Положение дел"
"app_text_placed","Размещены на"
"app_text_reorder","Изменение порядка"
"app_text_order_details","Информация для заказа"
"app_text_status_history","История Статус"
"app_text_shipping_address","Адрес доставки"
"app_text_billing_address","Платежный адрес"
"app_text_order_summary","итог заказа"
"app_text_shipping_method","способ доставки"
"app_text_payment_method","Способ оплаты"
"app_text_gift_wrapping","Подарочная упаковка"
"app_text_no_shipping_address","Нет адрес доставки доступны!"
"app_text_no_order_details","Детали доступны Никакой заказ!"
"app_text_signup","Подписаться"
"app_text_continue_guest","Продолжить как гость"
"app_text_email","Эл. адрес"
"app_text_password","пароль"
"app_text_forgot_password","Забыли пароль"
"app_text_login_social_account","Вы можете войти в систему с социальной учетной записи."
"app_text_login_with_google","Вход с Google+"
"app_text_login_with_facebook","Войти с Facebook"
"app_text_signup_with_google","Регистрация в Google+"
"app_text_signup_with_facebook","Регистрация с Facebook"
"app_text_msg_enter_valid_email","Пожалуйста, введите действительный адрес электронной почты!"
"app_text_msg_enter_email","Пожалуйста, введите адрес электронной почты!"
"app_text_msg_enter_password","Пожалуйста введите пароль!"
"app_text_msg_password_characters_less_than_3","Пожалуйста, введите пароль, имеющие символы более или равным 3!"
"app_text_msg_first_name","Имя"
"app_text_msg_last_name","Фамилия"
"app_text_msg_dob","Дата рождения"
"app_text_msg_confirm_password","Подтвердите Пароль"
"app_text_msg_personal_details","Персональные данные"
"app_text_msg_pass_not_matched","Пароль и подтверждение пароля не соответствует!"
"app_text_sold_by","Продан:"
"app_text_write_review","Написать отзыв"
"app_text_view_review","Просмотреть обзор (ы)"
"app_text_view_seller_products","Посмотреть продавец Продукт (ы)"
"app_text_wait","пожалуйста, подождите"
"app_text_loading","Загрузка данных..."
"app_text_msg_went_wrong","Что-то пошло не так. Пожалуйста, попробуйте еще раз."
"app_text_msg_no_internet_found","Нет подключения к Интернету не найдено."
"app_text_msg_no_internet_title","Нет интернета"
